ID,ID_Intervencion,ID_Padre,Fecha,Actor_Final,Rol_Final,Fuente_Actor,Fuente_Rol,Motivos_Revision,ID_Turno,Relacion_Turno,ID_Antecedente_Continuidad,ID_Ancla_Actor,ID_Anterior,Actor_Anterior,Final_Anterior,Extracto,Evidencia_Alerta,ID_Siguiente,Actor_Siguiente,Inicio_Siguiente,Estado_Lectura_Dirigida,Revision_Lectura_Dirigida,Alcance_Lectura_Dirigida
182,RPM-2005-03-10:180:1,180,2005-03-10 00:00:00,Sergio Lehmann Beresi,Gerente de Análisis Internacional,CONTEXTO_REVISADO,LISTA_ASISTENCIA,CARGO_EN_DISCURSO_POR_VERIFICAR,RPM-2005-03-10:T30,SIN_CONTINUIDAD_CONFIRMADA,,,RPM-2005-03-10:179:1,Luis Óscar Herrera Barriga,"varios comentarios respecto de por qué postergar, por razones más bien tácticas, el aumento de la tasa de política monetaria y dejarlo para otro mes. Indica que también hay otro tema, que tiene relación con los aumentos de inflación que probablemente se van a presentar y le preocupa que después aparezcamos reaccionando respecto de esos incrementos.","El Gerente de Análisis Financiero, señor Sergio Lehmann, estima que es importante también poner sobre el tapete de la discusión algo que se mencionó en la reunión de la mañana que se refiere al balance de riesgo, que, al menos, desde el punto de vista de la División Internacional, es más bien negativo, desde el punto de vista de la inflación extern",,RPM-2005-03-10:181:1,Vittorio Corbo Lioi,"El Presidente, señor Corbo, agrega que con las alzas de tasas efectuadas en los últimos dos meses se hizo frente a inflaciones negativas. Señala que en esas oportunidades, se dio una señal clara de que el Banco se preocupaba de la inflación hacia delante y no mes a mes. Sí así no se hubiera hecho no hay duda que la situación sería muy distinta.",,,
204,RPM-2005-04-07:202:1,202,2005-04-07 00:00:00,Vittorio Corbo Lioi,Presidente del Banco Central,SUJETO_ROL_SESION,LISTA_ASISTENCIA,TEXTO_DANADO_POR_COTEJAR,RPM-2005-04-07:T2,INICIO_EXPLICITO,,RPM-2005-04-07:202:1,RPM-2005-04-07:201:1,Consejo del Banco Central de Chile,"ón Estadística, don Ricardo Vicuña Poblete; Gerente de Análisis Internacional, don Sergio Lehmann Beresi; Gerente de Operaciones Monetarias, don Jorge Pérez Etchegaray; Gerente de Comunicaciones, don Eduardo Arriagada Cardini; Secretaria Ejecutiva Gabinete de la Presidencia, doña Cecilia Feliú Carrizo; y Secretario General, don Jorge Court Larenas.","El señor Presidente, da cuenta al Consejo que doña María Eugenia Wagner Brizzi, quien concurrirá a esta Sesión de Política Monetaria, en calidad de Ministra Subrogante, en reemplazo del titular que se encuentra fuera del país, le ha informado que se incorporará a ella a las 16,00 horas, ya que ha debido concurrir a una reunión citada por su Excelen",,RPM-2005-04-07:202:2,Pablo García Silva,"El Gerente de Análisis Macroeconómico, don Pablo García, en relación con el análisis de los desarrollos económicos y financieros recientes, señala lo siguiente: En su conjunto, el escenario macro sigue estando en torno a lo previsto en el Informe de Política Monetaria de enero, salvo en lo que se refiere a los precios externos relevantes para la ec",MENCION_LEGITIMA_REVISADA,MENCION-20260908-L31-202,"POSIBLE_OTRO_HABLANTE_O_MENCION: Corbo anuncia una incorporación futura de Wagner y la invitación a Pérez. No son palabras de los invitados ni del Presidente de la República referido. García11028 y el retorno de Corbo88 permanecen separados. La discordancia abril/octubre queda advertida, sin cambiar fechas. Padre leído completo; sólo este intervalo de referencias. No modifica actor, texto, segmentación ni alertas; no cierra otros motivos y no certifica OCR. Sin nuevo cotejo PDF ni muestra independiente."
208,RPM-2005-04-07:203:2,203,2005-04-07 00:00:00,Pablo García Silva,Gerente de Análisis Macroeconómico,SUJETO_ROL_NOMBRE,LISTA_ASISTENCIA,FINAL_SIN_PUNTUACION,RPM-2005-04-07:T6,INICIO_EXPLICITO,,RPM-2005-04-07:203:2,RPM-2005-04-07:203:1,José De Gregorio Rebeco,"enario macroeconómico. Agrega que, en su opinión, se entendería que ello sería la actividad económica, pero no existe una partida en los puntos destacados de que también hay desviaciones respecto a la inflación. Señala el señor Vicepresidente, que está pensando, fundamentalmente, en el precio del petróleo respecto del Informe de Política Monetaria.","Sobre el particular, el Gerente señor García, señala que el punto del efecto inflacionario del petróleo se ha visto compensado en la inflación del IPC por otro tipo de movimientos a la baja en tarifas, incluso si se aprecia la inflación del IPC, del IPCX y del IPCX1, está siendo muy similar a la que se advertía hace tres meses atrás. No obstante, i",,RPM-2005-04-07:203:3,José De Gregorio Rebeco,"El Vicepresidente, señor De Gregorio, consulta la razón por la cual el Banco Mundial está hablando de un crecimiento mundial de 3,3%.",,,
215,RPM-2005-04-07:205:2,205,2005-04-07 00:00:00,Manuel Marfán Lewis,Consejero,SUJETO_ROL_NOMBRE,LISTA_ASISTENCIA,FINAL_SIN_PUNTUACION;TEXTO_DANADO_POR_COTEJAR,RPM-2005-04-07:T12,INICIO_EXPLICITO,,RPM-2005-04-07:205:2,RPM-2005-04-07:205:1,Jorge Desormeaux Jiménez,"gentes está muy concentrado en el Asia En efecto, si miramos la evolución de las monedas latinoamericanas, la sensación que existe es que poco de eso ha llegado a la región y, por lo tanto, la caída que se ha presentado también va a tener poca incidencia. Agrega, que las consecuencias más bien van por el lado de los spreads y los mercados de deuda.","El Consejero señor Marfán señala que cuando se dice que algo aumentó o algo bajó, es respecto de algún período en particular que debe ser especificado. Por ejemplo, agrega, cuando se dice que prácticamente todas las monedas se depreciaron respecto del dólar, se debe señalar de cúal período se esta hablando. i",,RPM-2005-04-07:205:3,Pablo García Silva,"El Gerente de Análisis Macroeconómico le indica al Consejero, señor Marfán, que la referencia es respecto a la última reunión.",,,
232,RPM-2005-04-07:207:9,207,2005-04-07 00:00:00,Rodrigo Valdés Pulido,Gerente de División Estudios,SUJETO_NOMBRE,LISTA_ASISTENCIA,FINAL_SIN_PUNTUACION,RPM-2005-04-07:T29,INICIO_EXPLICITO,,RPM-2005-04-07:207:9,RPM-2005-04-07:207:8,Manuel Marfán Lewis,"El Consejero señor Marfán comenta, que para bienes de consumo durables, variaciones de 20% ó 40% resultan normales. Indica que por la naturaleza de ese tipo de bienes se sabe que son sumamente volátiles. En todo caso, no le parece que estás cifras permitan concluir que se está encaminado a un boom de consumo.","Agrega el señor Rodrigo Valdés que al ver el panorama completo de actividad se desprende que la sensación que estábamos en un boom o crecimiento excesivo ha ido decayendo y piensa que ello se puede ir descartando del escenario base. IV. Actividad y empleo Los antecedentes más recientes de actividad confirman el escenario central de enero, con un ri",,RPM-2005-04-07:207:10,Vittorio Corbo Lioi,"El señor Presidente, consulta sobre comentarios respecto de actividad y empleo.",,,
239,RPM-2005-04-07:210:2,210,2005-04-07 00:00:00,Manuel Marfán Lewis,Consejero,SUJETO_ROL_NOMBRE,LISTA_ASISTENCIA,FINAL_SIN_PUNTUACION,RPM-2005-04-07:T36,INICIO_EXPLICITO,,RPM-2005-04-07:210:2,RPM-2005-04-07:210:1,Vittorio Corbo Lioi,nes de prensa se deduce que la reacción a la ley eléctrica ha sido muy favorable desde el punto de vista de incentivo a la producción. La pregunta es cuanto se demora en producir sus efectos. Le parece que si son tres años debemos tenerlo en cuenta para el 2006 y 2007. Si se demora menos puede que se resuelva el problema energético en menos tiempo.,"El Consejero señor Marfán, interviene sobre el tema de crecimiento del producto potencial y el cierre de brechas. Sobre el particular señala, que llevamos varios meses, un tiempo largo por suerte, con tasas de crecimiento y percepción de crecimiento que está por arriba del producto potencial, entonces el hecho que haya aparecido como punto destacad",,RPM-2005-04-07:210:3,Rodrigo Valdés Pulido,"El Gerente de División Estudios señor Valdés, menciona que no era el propósito indicar algo distinto de lo que se había señalado antes sino que en vez de usar la expresión que las holguras de capacidad se siguen cerrando se habla que éstas crecen más que el PIB potencial. Agrega, que un punto muy importante es que el nivel del PIB con las nuevas cu",,,
248,RPM-2005-04-07:213:2,213,2005-04-07 00:00:00,Jorge Desormeaux Jiménez,Consejero,SUJETO_ROL_NOMBRE,LISTA_ASISTENCIA,FINAL_SIN_PUNTUACION,RPM-2005-04-07:T45,INICIO_EXPLICITO,,RPM-2005-04-07:213:2,RPM-2005-04-07:213:1,José De Gregorio Rebeco,"o Nacional de Estadísticas hizo algo bien y si se equivocó es un tema que hay que discutir cual es la decisión metodológica y contribuir, desde el punto de vista del Banco Central, sin hacer comentarios. Sin embargo, cree que al final del día deberíamos trabajar con los datos del Instituto Nacional de Estadísticas de la manera más sencilla posible.","El Consejero, señor Desormeaux señala que comparte lo expuesto por el señor Presidente, en el sentido que el Banco Central no debe comentar este tema, pero respecto del cambio del Instituto Nacional de Estadísticas entiende que no es solamente un cambio de ponderaciones que podría justificarse y que, probablemente, no se comunicó bien. Agrega, que ",,RPM-2005-04-07:213:3,Pablo García Silva,"El Gerente de Análisis Macroeconómico, señala que, respecto de la reunión de marzo, y en línea con los acontecimientos recientes, se modifica al alza el supuesto del precio del petróleo Brent, con precios para el segundo trimestre que pasan desde un promedio de US$ 44 la reunión anterior a uno cercano a US$ 51. Para el tercer trimestre, el supuesto",,,
332,RPM-2005-06-09:281:1,281,2005-06-09 00:00:00,Pablo García Silva,Gerente de Análisis Macroeconómico,SUJETO_ROL_SESION,LISTA_ASISTENCIA,FINAL_SIN_PUNTUACION,RPM-2005-06-09:T10,INICIO_EXPLICITO,,RPM-2005-06-09:281:1,RPM-2005-06-09:280:8,Luis Óscar Herrera Barriga,leja principalmente la evolución de aspectos relacionados con la liquidez y específicamente con los requerimientos de Reserva Técnica y el costo alternativo de los instrumentos que se usan para constituirl a. Esta situación distorsiona la lectura que se puede hacer a partir de este instrumento acerca de las expectativas sobre la política monetaria.,"El Gerente de Análisis Macroeconómico señala, que en cuanto a la compensación inflacionaria ésta ha disminuido y eso es un componente que tiene que ver con los cambios en la inflación esperada para los próximos meses, respecto a la inflación que se observó en los últimos meses del primer trimestre de este año. La evidencia que se tiene indica que e",,RPM-2005-06-09:281:2,Rodrigo Valdés Pulido,"El Gerente de División Estudios, señor Rodrigo Valdés, comenta que la capacidad que tiene el mercado para arbitrar está un poco restringida por la normativa. La venta corta, por ejemplo, que podrían hacer las Administradoras de Fondos de Pensiones de papeles del Banco Central de Chile, no pueden realizarla, lo que dificulta los arbitrajes.",,,
367,RPM-2005-07-12:299:1,299,2005-07-12 00:00:00,Pablo García Silva,Gerente de Análisis Macroeconómico,SUJETO_ROL_NOMBRE,LISTA_ASISTENCIA,FINAL_SIN_PUNTUACION,RPM-2005-07-12:T6,INICIO_EXPLICITO,,RPM-2005-07-12:299:1,RPM-2005-07-12:298:2,Nicolás Eyzaguirre Guzmán,"En lo que dice relación con los mercados financieros y, en especial, respecto de las tasas de interés de colocación, el señor Ministro consulta si para deducir las tasas fonA/ards, el Banco usa el BCP5, el BCP10, o alguno más corto.","El Gerente de Análisis Macroeconómico, señor García, señala sobre el particular, que se usan esas tasas y el BCP2, para la estructura de dos años hacia adelante. Indica dicho Gerente,que para el tramo más corto no se usan papeles del Banco porque están muy contaminados por la demanda de reserva técnica. Por ejemplo, señala que se utilizan las tasas",,RPM-2005-07-12:299:2,Nicolás Eyzaguirre Guzmán,"El señor Ministro de Hacienda consulta también, qué sucedió con las tasas de los créditos hipotecarios.",,,
388,RPM-2005-07-12:301:1,301,2005-07-12 00:00:00,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,SUJETO_ROL_SESION,LISTA_ASISTENCIA,FINAL_SIN_PUNTUACION,RPM-2005-07-12:T27,INICIO_EXPLICITO,,RPM-2005-07-12:301:1,RPM-2005-07-12:300:10,Pablo García Silva," Macroeconómico, señala que lo que podría responder es que lo que está incorporado en las proyecciones, es justamente uno de los mecanismos de propagación que se está eliminando, esto es el efecto del precio más alto de los combustibles, tasas de intereses reales mas bajas, podríamos tener una política monetaria más expansiva, más inflación futura.","El señor Ministro de Hacienda señala si dado el supuesto que todos y cada uno de los precios de la economía se estuvieran expandiendo 3%, se presenta un shock y, durante algún tiempo el precio del petróleo se expande a 6% y, la tasa de política monetaria permanece constante, cabría preguntarse si, en este caso, cambiaron las funciones monetarias pa",,RPM-2005-07-12:301:2,Manuel Marfán Lewis,"Al respecto, el Consejero señor Marfán, señala que la pregunta es distinta porque allí se tiene un shock de oferta y, por lo tanto, frente a un shock de este tipo la reacción de política monetaria puede ser diferente para efectos de la tasa de interés real.",,,
