"Izquierda","Derecha","Actor","Mismo_Padre","Caracteres_Izquierda","Caracteres_Derecha","Fuente_Izquierda","Fuente_Derecha","Motivos_Izquierda","Motivos_Derecha","Indicadores","Estado","Estado_Revision_Dirigida","Causa_Lote7","Alcance_Lectura","Evidencia","Siguiente_Accion","Enlace_Aplicado_V6","Corte_Aplicado_V7"
"RPM-2005-01-11:38:1","RPM-2005-01-11:39:1","Rodrigo Valdés Pulido","False","5917","1047","CONTEXTO_REVISADO","CONTEXTO_REVISADO","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","AMBOS_EXTREMOS_SIN_FUENTE_PROPAGABLE","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2005-02-10:120:1","RPM-2005-02-10:121:1","Rodrigo Valdés Pulido","False","2855","3940","CONTEXTO_REVISADO","CONTEXTO_REVISADO","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","AMBOS_EXTREMOS_SIN_FUENTE_PROPAGABLE","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2005-05-12:264:1","RPM-2005-05-12:265:1","Rodrigo Valdés Pulido","False","3765","3854","CONTEXTO_REVISADO","CONTEXTO_REVISADO","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","AMBOS_EXTREMOS_SIN_FUENTE_PROPAGABLE","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2006-07-13:780:2","RPM-2006-07-13:780:3","Vittorio Corbo Lioi","True","1655","1763","CONTEXTO_REVISADO","SUJETO_ROL_NOMBRE","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","RESERVA_COTEJO_INICIO","","PADRES_Y_GRUPOS_COMPLETOS_EN_LOTE6","docs/continuidad_lote6_2026-09-09/lecturas.json","Cotejar el acta RPM95 del13-07-2006: localizar la transición entre el voto de De Gregorio y el inicio de Corbo; no basta buscar apellidos en fuentes secundarias.","NO","NO"
"RPM-2008-03-13:1728:2","RPM-2008-03-13:1728:3","Andrés Velasco Brañes","True","1023","2296","CONTEXTO_REVISADO","SUJETO_ROL_NOMBRE","TEXTO_DANADO_POR_COTEJAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","ALERTA_CONTEXTUAL_VIGENTE","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2008-06-10:1904:2","RPM-2008-06-10:1905:1","Kevin Cowan Logan","False","1358","1295","CONTEXTO_REVISADO","SUJETO_ROL_NOMBRE","CARGO_EN_DISCURSO_POR_VERIFICAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","ALERTA_CONTEXTUAL_VIGENTE","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2009-03-12:2430:1","RPM-2009-03-12:2431:1","Beltrán de Ramón Acevedo","False","4002","1060","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","POSIBLE_OTRO_HABLANTE_O_MENCION","","POSIBLE_OTRA_VOZ","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","POSIBLE_OTRA_VOZ","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2009-08-13:2661:6","RPM-2009-08-13:2661:7","Sergio Lehmann Beresi","True","49","1322","CONTEXTO_REVISADO","SUJETO_ROL_SESION","","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","RESERVA_CONFIRMACION_NARRADA","","PADRES_Y_GRUPOS_COMPLETOS_EN_LOTE6","docs/continuidad_lote6_2026-09-09/lecturas.json","Revisar el criterio de agrupación de confirmaciones narradas; si el acta repite el mismo texto, no podrá inferirse modalidad verbal/no verbal del PDF.","NO","NO"
"RPM-2009-08-13:2685:2","RPM-2009-08-13:2685:3","Enrique Marshall Rivera","True","139","6624","CONTEXTO_REVISADO","SUJETO_NOMBRE","DUPLICADO_NO_FORMULA","","IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","SIN_BARRERA_ESTRUCTURAL_IDENTIFICADA","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2009-11-12:2788:1","RPM-2009-11-12:2788:2","José De Gregorio Rebeco","True","126","182","SUJETO_ROL_NOMBRE","CONTEXTO_REVISADO","","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","DERECHA_SIN_FUENTE_PROPAGABLE","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2009-11-12:2788:5","RPM-2009-11-12:2789:1","Claudio Soto Gamboa","False","407","3081","CONTEXTO_REVISADO","SUJETO_NOMBRE","TEXTO_DANADO_POR_COTEJAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","ALERTA_CONTEXTUAL_VIGENTE","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2009-11-12:2789:1","RPM-2009-11-12:2790:1","Claudio Soto Gamboa","False","3081","594","SUJETO_NOMBRE","CONTEXTO_REVISADO","","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","DERECHA_SIN_FUENTE_PROPAGABLE","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2009-12-15:2803:2","RPM-2009-12-15:2804:1","José De Gregorio Rebeco","False","296","158","CONTEXTO_REVISADO","SUJETO_ROL_SESION","TEXTO_DANADO_POR_COTEJAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","ALERTA_CONTEXTUAL_VIGENTE","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2010-01-14:2863:2","RPM-2010-01-14:2863:3","Claudio Soto Gamboa","True","63","939","CONTEXTO_REVISADO","SUJETO_NOMBRE","","","AGRUPADO_EN_V6","AGRUPADO_EN_V6","ENLACE_INTRAPADRE_APLICADO_V6","","PADRES_Y_GRUPOS_COMPLETOS_EN_LOTE6","docs/continuidad_lote6_2026-09-09/lecturas.json","Enlace aplicado y probado en v6; no generalizar a otros casos.","SI","NO"
"RPM-2010-01-14:2875:1","RPM-2010-01-14:2875:2","José De Gregorio Rebeco","True","79","1038","SUJETO_ROL_NOMBRE","CONTEXTO_REVISADO","","","BARRERA_LEXICA_IZQUIERDA;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
"RPM-2010-01-14:2885:2","RPM-2010-01-14:2885:3","Manuel Marfán Lewis","True","165","2400","CONTEXTO_REVISADO","SUJETO_NOMBRE","","TEXTO_DANADO_POR_COTEJAR","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","ALERTA_CONTEXTUAL_VIGENTE","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2010-02-11:2958:1","RPM-2010-02-11:2958:2","José De Gregorio Rebeco","True","335","224","SUJETO_ROL_NOMBRE","CONTEXTO_REVISADO","TEXTO_DANADO_POR_COTEJAR","","BARRERA_LEXICA_IZQUIERDA;ALERTA_CONTEXTUAL;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
"RPM-2010-03-18:2969:2","RPM-2010-03-18:2970:1","José De Gregorio Rebeco","False","301","158","CONTEXTO_REVISADO","SUJETO_ROL_SESION","TEXTO_DANADO_POR_COTEJAR","","ALERTA_CONTEXTUAL;IZQUIERDA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","ALERTA_CONTEXTUAL_VIGENTE","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2010-03-18:3008:1","RPM-2010-03-18:3008:2","José De Gregorio Rebeco","True","61","332","SUJETO_ROL_SESION","CONTEXTO_REVISADO","","","BARRERA_LEXICA_IZQUIERDA;DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
"RPM-2010-04-15:3071:1","RPM-2010-04-15:3071:2","José De Gregorio Rebeco","True","71","217","SUJETO_ROL_SESION","LECTOR_DOCUMENTO_REVISADO","FINAL_SIN_PUNTUACION","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","DERECHA_ES_DOCUMENTO_LEIDO_POR_TERCERO","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2010-05-13:3109:1","RPM-2010-05-13:3109:2","José De Gregorio Rebeco","True","144","548","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
"RPM-2010-05-13:3125:1","RPM-2010-05-13:3126:1","José De Gregorio Rebeco","False","3642","2608","SUJETO_ROL_SESION","CONTEXTO_REVISADO","","","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","DERECHA_SIN_FUENTE_PROPAGABLE","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2010-06-15:3193:1","RPM-2010-06-15:3193:2","José De Gregorio Rebeco","True","217","246","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
"RPM-2010-07-15:3269:1","RPM-2010-07-15:3269:2","José De Gregorio Rebeco","True","96","247","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
"RPM-2010-08-12:3328:1","RPM-2010-08-12:3328:2","José De Gregorio Rebeco","True","142","245","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
"RPM-2010-09-16:3421:4","RPM-2010-09-16:3421:5","José De Gregorio Rebeco","True","201","108","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
"RPM-2010-11-16:3572:1","RPM-2010-11-16:3572:2","José De Gregorio Rebeco","True","102","235","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","BARRERA_LEXICA_IZQUIERDA","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
"RPM-2010-11-16:3575:1","RPM-2010-11-16:3575:2","José De Gregorio Rebeco","True","120","181","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","FINAL_SIN_PUNTUACION","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","DERECHA_ES_DOCUMENTO_LEIDO_POR_TERCERO","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2011-01-13:3646:2","RPM-2011-01-13:3646:3","Sergio Lehmann Beresi","True","84","1168","CONTEXTO_REVISADO","SUJETO_NOMBRE","","","AGRUPADO_EN_V6","AGRUPADO_EN_V6","ENLACE_INTRAPADRE_APLICADO_V6","","PADRES_Y_GRUPOS_COMPLETOS_EN_LOTE6","docs/continuidad_lote6_2026-09-09/lecturas.json","Enlace aplicado y probado en v6; no generalizar a otros casos.","SI","NO"
"RPM-2011-06-14:4109:1","RPM-2011-06-14:4109:2","José De Gregorio Rebeco","True","124","181","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","FINAL_SIN_PUNTUACION","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","DERECHA_ES_DOCUMENTO_LEIDO_POR_TERCERO","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2011-09-15:4332:1","RPM-2011-09-15:4333:1","José De Gregorio Rebeco","False","3732","145","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_RESPALDADA_PREVIAMENTE","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","docs/continuidad_lote4_2026-09-09/lecturas.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
"RPM-2011-11-15:4453:1","RPM-2011-11-15:4453:2","José De Gregorio Rebeco","True","448","227","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","DERECHA_ES_DOCUMENTO_LEIDO_POR_TERCERO","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2011-12-13:4507:1","RPM-2011-12-13:4507:2","Rodrigo Vergara Montes","True","132","227","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","DUPLICADO_NO_FORMULA","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","DERECHA_ES_DOCUMENTO_LEIDO_POR_TERCERO","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2012-03-15:4722:1","RPM-2012-03-15:4722:2","Rodrigo Vergara Montes","True","119","239","SUJETO_ROL_NOMBRE","LECTOR_DOCUMENTO_REVISADO","","DUPLICADO_NO_FORMULA","DERECHA_SIN_FUENTE_PROPAGABLE","INVENTARIO_NO_APROBACION","SIN_ADJUDICACION_EN_ESTE_INVENTARIO","DERECHA_ES_DOCUMENTO_LEIDO_POR_TERCERO","CAUSA_MEDIDA_EN_LOTE7","docs/continuidad_lote7_2026-09-09/triaje_53.json","Ver la causa medida en el triaje del lote7 antes de decidir una lectura.","NO","NO"
"RPM-2012-04-17:4788:1","RPM-2012-04-17:4788:2","Rodrigo Vergara Montes","True","1946","185","SUJETO_ROL_NOMBRE","SUJETO_ROL_NOMBRE","","FINAL_SIN_PUNTUACION","TIPO_ACTA_O_DOCUMENTO","INVENTARIO_NO_APROBACION","SEPARACION_FUNCIONAL_V4","","RESPALDO_ANTERIOR_NO_RELECTURA_EN_LOTE6","data/curation/refinamiento_funcional_v4.json","Mantener separación; no tratarla como un enlace pendiente.","NO","NO"
